Times,Average Energy (W)
1,4.7203690476833335
2,4.80692857145
3,5.040511904666667
4,4.8032380951833336
5,4.520964285733333
6,5.3447857143
7,4.683452381016666
8,4.886678571333333
9,4.875333333166666
10,4.743035714233333
11,5.184380952366666
12,4.8200952379999995
13,4.933142857216667
14,4.999107142733333
15,4.500726190566667
16,4.5969285714499994
17,4.99167857145
18,4.661607142833334
19,5.026369047616667
20,5.0326071429
21,4.9531547619500005
22,5.014023809449999
23,4.45158333335
24,4.643500000033333
25,5.3312142857
26,4.554571428666667
27,4.979702380883333
28,4.858619047616667
29,4.679440476116667
30,5.014595238083333
